time,x1,y1,z1,x2,y2,z2
2016-03-09 22:52:03.962,4.342063,-5.2037735000000005,6.5537868,0.78032666,-10.239991999999999,4.6293
2016-03-09 22:52:03.978,4.3612123,-7.721883,5.529309,-0.05266008,-9.244238000000001,2.6569404999999997
2016-03-09 22:52:03.994,3.8920587999999996,-8.7750845,4.150572,-1.0292653,-7.7506065,1.0292653
2016-03-09 22:52:04.010,3.690993,-9.560199,3.5760984,-1.7569318999999999,-9.703816999999999,1.5654407
2016-03-09 22:52:04.026,4.08355,-10.010203,4.0644007,-3.193116,-11.714475,2.7909843999999997
2016-03-09 22:52:04.042,3.777164,-9.359133,4.926111,-3.6526947,-11.657027000000001,5.108028
2016-03-09 22:52:04.058,3.8633351,-8.018694,6.2378263,-3.9590807,-10.622974000000001,4.782493
2016-03-09 22:52:04.074,3.8058877,-7.042089,6.4197426,-3.6526947,-9.761265,4.4952559999999995
2016-03-09 22:52:04.090,3.4707782,-7.2431550000000025,5.4718614,-3.0973704,-9.761265,6.7740016
2016-03-09 22:52:04.106,2.9824755,-8.382527,4.255892299999998,-3.5569491,-8.229335,7.329325999999999
2016-03-09 22:52:04.122,3.0973704,-10.029352000000001,4.016528,-4.437809,-8.095291,5.835694999999999
2016-03-09 22:52:04.138,3.1165195,-11.398514,4.045252,-4.610151,-7.8846507,5.5101595
2016-03-09 22:52:04.154,2.9250283,-11.408089,4.0356774,-4.5718527,-7.482519,5.1654754
2016-03-09 22:52:04.170,2.1207652,-9.110194,3.8824842000000004,-4.2654667,-5.8739930000000005,2.4654493
2016-03-09 22:52:04.186,1.6516117,-7.4250717,3.690993,-2.9633265,-9.033598,1.6037389
2016-03-09 22:52:04.202,1.3165021000000001,-6.7931504,3.7101421,-2.427151,-12.308098,-0.85692316
2016-03-09 22:52:04.218,1.1633091,-7.2144312999999975,2.752686,-2.3505547000000004,-12.844273,-2.254809
2016-03-09 22:52:04.234,0.6079846,-7.9325233,0.081383765,-2.1590632999999997,-12.174053,-2.1782124
2016-03-09 22:52:04.250,-0.665432,-10.239991999999999,-1.862252,-2.561195,-12.557036,-0.43564250000000004
2016-03-09 22:52:04.266,-0.043085523,-10.814466,-4.696322,-3.5569491,-8.822957,3.9399316
2016-03-09 22:52:04.282,-0.09095833,-10.220842999999999,-5.1271772,-3.1165195,-6.9080452999999995,4.0931244
2016-03-09 22:52:04.298,0.49308985,-3.7963133,-2.6282167000000003,-3.193116,-6.7357035000000005,3.4612036
2016-03-09 22:52:04.314,0.17712937,2.1399142999999996,3.518651,-3.2505634,-7.386773599999999,1.9292740000000002
2016-03-09 22:52:04.330,-2.1590632999999997,5.232497,18.751776,-3.5378,-8.210186,0.30159867
2016-03-09 22:52:04.346,0.33032233,2.015445,15.793238,-4.150572,-8.650616000000001,-1.0292653
2016-03-09 22:52:04.362,7.635712,-1.4601203999999999,7.4154973,-4.8973875,-9.914457,-1.14416
2016-03-09 22:52:04.378,6.3431463,-1.2590546999999999,2.1207652,-5.1846247000000005,-10.163396,-0.26330042
2016-03-09 22:52:04.394,5.529309,-1.4601203999999999,-0.8952214,-4.8207912,-9.110194,0.43564250000000004
2016-03-09 22:52:04.410,6.9176197,-2.8484317999999997,-1.2686293,-4.476107,-7.348475,0.2441513
2016-03-09 22:52:04.426,7.846352,-7.4442205,0.023936402000000002,-4.5910015,-7.4059224000000015,-0.39734426
2016-03-09 22:52:04.442,5.6154795,-12.336822,1.4409714,-4.8590894,-8.34423,-1.0675635
2016-03-09 22:52:04.458,2.905879,-11.953838000000001,2.5994933,-4.8207912,-8.957002000000003,-1.4505458999999998
2016-03-09 22:52:04.474,4.1888704,-10.967659,5.289944599999999,-4.456958,-9.167641999999999,-1.9675721999999998
2016-03-09 22:52:04.490,4.916537,-10.105948,8.478273,-4.0356774,-9.397431,-0.7228793
2016-03-09 22:52:04.506,5.1176023,-10.603826,9.483603,-4.303765,-8.880403999999997,-0.5888355
2016-03-09 22:52:04.522,3.8154623999999995,-12.135756,9.138917999999999,-3.9016335,-9.339984,-0.12925656
2016-03-09 22:52:04.538,2.9824755,-11.858092999999998,7.35805,-3.3654580000000003,-8.937852000000003,0.45479164
2016-03-09 22:52:04.554,3.8346114,-11.101703,5.787822,-3.384607,-7.3676243,0.014361841
2016-03-09 22:52:04.570,4.0644007,-12.5474615,5.644203,-4.0931244,-6.8122997000000005,-1.3356511999999998
2016-03-09 22:52:04.586,2.7909843999999997,-14.194285,4.715471,-3.7867386,-8.459125,-1.6420371999999999
2016-03-09 22:52:04.602,1.3069274,-12.499589,5.108028,-2.8484317999999997,-9.474028,-0.91437054
2016-03-09 22:52:04.618,2.5803439999999997,-10.967659,4.96441,-2.3697037999999995,-9.474028,-0.6079846
2016-03-09 22:52:04.634,2.7239625,-10.661273,2.5228968,-2.3697037999999995,-8.803808,-1.4122477
2016-03-09 22:52:04.650,2.5994933,-12.116607,1.2207563999999995,-2.5420458,-9.435728999999998,-1.776081
2016-03-09 22:52:04.666,1.5271424,-10.891063,0.13883112,-2.3505547000000004,-10.278291000000001,-2.1782124
2016-03-09 22:52:04.682,1.3548003,-11.063405,2.2931072999999995,-2.101616,-10.603826,-0.9526688
2016-03-09 22:52:04.698,1.9962958,-13.370873000000001,2.2356597999999996,-2.0058703,-10.795316999999999,-2.5420458
2016-03-09 22:52:04.714,1.8431028999999999,-12.001712,1.1633091,-2.101616,-12.576185,-3.4420545
2016-03-09 22:52:04.730,3.0111992,-10.527229,1.2111819,-2.1399142999999996,-11.293194,-2.4845984
